"","year","latino","white","black","asian","pacis","age_cat","female","ed_hsgrad","ed_somecoll","ed_collgrad","pred","poor","lfp","full_time","fb","live_any_fam","live_spouse","fb_lf","live_fam_lf","live_sp_lf","poor_lf","own","stress30","stress50","own_lf","stress30_lf","stress50_lf","totpop","full_time_lf"
"1",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,FALSE,FALSE,FALSE,FALSE,0.224046610169492,0.755296610169492,0.552966101694915,0.397245762711864,0.675847457627119,0.488347457627119,0.420056100981767,0.731416549789621,0.584151472650771,0.0841514726507714,0.484610017955938,0.293593382932841,0.293593382932841,0.500489032775996,0.26681103175054,0.26681103175054,1888,0.732117812061711
"2",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,FALSE,FALSE,TRUE,FALSE,0.119759419777109,0.745798690960552,0.534406509817796,0.16345303378737,0.765964974349903,0.668317707411994,0.195445920303605,0.804316888045541,0.673387096774193,0.0571631878557875,0.78077090035646,0.320201560579871,0.176284592495743,0.765852174786727,0.338274612537729,0.173589455853771,5653,0.716555977229602
"3",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,FALSE,TRUE,FALSE,FALSE,0.276440962506995,0.593872411863458,0.416759932848349,0.0506435366536094,0.740346950195859,0.656827084499161,0.0852767962308598,0.8150765606596,0.719434628975265,0.169846878680801,0.697243502412931,0.403124764896157,0.184884447165423,0.808713107873371,0.393881244734286,0.146314231983585,7148,0.701766784452297
"4",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",FALSE,TRUE,FALSE,FALSE,FALSE,0.300025687130748,0.530952992550732,0.426920113023375,0.106601592602106,0.807089648086309,0.609041870023118,0.12385099177552,0.949201741654572,0.784228350266086,0.111272375423319,0.772114637425559,0.5266332859814,0.208402443501528,0.931652676959505,0.538191499633154,0.178546095946821,3893,0.804063860667634
"5",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,FALSE,FALSE,FALSE,FALSE,0.420924574209246,0.329440389294404,0.211192214111922,0.328953771289538,0.75669099756691,0.539172749391728,0.446085672082718,0.707533234859675,0.423929098966027,0.360413589364845,0.659128663704978,0.371140699618658,0.250334163983062,0.816872335307936,0.651373848143425,0.328682005118883,2055,0.641063515509601
"6",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,FALSE,FALSE,TRUE,FALSE,0.0842046303211352,0.961165048543689,0.564040328603435,0.130321135175504,0.765496639283047,0.638349514563107,0.118492618492618,0.770979020979021,0.638694638694639,0.0876068376068376,0.82338075598167,0.413885146630631,0.157490340659414,0.810384162230031,0.404731636809061,0.152287126563602,5356,0.586829836829837
"7",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,FALSE,TRUE,FALSE,FALSE,0.320121290881525,0.6137102014295,0.414663201212909,0.122265540394195,0.789148797920728,0.577864414121724,0.127757190753485,0.811540497617787,0.579671784012705,0.159520028233633,0.588842957168155,0.420533227622166,0.249547243846007,0.563617539856756,0.395724953823203,0.210465082748564,9234,0.675666137286042
"8",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"55-59",TRUE,TRUE,FALSE,FALSE,FALSE,0.128791526239769,0.679826673086182,0.297063071738084,0.180548868560424,0.810544053923929,0.67741935483871,0.142351274787535,0.801699716713881,0.674929178470255,0.0527620396600567,0.707235610172619,0.394073516488879,0.128664208493605,0.702669156039136,0.373837211152419,0.0640083329790725,4154,0.436968838526912
"9",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,FALSE,FALSE,FALSE,FALSE,0.321151210598447,0.325719506624029,0.151210598446779,0.439926907263591,0.666057560529922,0.638190954773869,0.523141654978962,0.88218793828892,0.88218793828892,0.127629733520337,0.458625832423384,0.389689560668942,0.158288830687587,0.33202216379785,0,0,2189,0.464235624123422
"10",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,FALSE,FALSE,TRUE,FALSE,0.16120826709062,0.594276629570747,0.489984101748808,0.199682034976153,0.83879173290938,0.799682034976153,0.207062600321027,0.831460674157303,0.831460674157303,0,0.667623592428732,0.273181880225139,0.186536896385453,0.5970071611082,0.117542616820754,0.0904974129504919,3145,0.824505082932049
"11",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,FALSE,TRUE,FALSE,FALSE,0.242812130760142,0.524812918471839,0.370224497833793,0.0622292241039779,0.856045687278456,0.856045687278456,0.050656660412758,0.866791744840525,0.866791744840525,0.0589118198874296,0.757633940373983,0.450139233597806,0.203162520601993,0.738735014206567,0.333239997150536,0.0656047835711318,5078,0.705440900562852
"12",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",FALSE,TRUE,FALSE,FALSE,FALSE,0.327093346825196,0.449026056159879,0.297242600556539,0.0842398178598533,0.867442448773084,0.802428535289653,0.187605633802817,0.96,0.96,0.142535211267606,0.696537523865345,0.477283437121348,0.196280471976096,0.744007226997852,0.53817714742845,0.223422570910682,3953,0.661971830985915
"13",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",TRUE,FALSE,FALSE,FALSE,FALSE,0.425240750126711,0.257982767359351,0.226558540293969,0.546376077040041,0.78205778003041,0.725798276735935,0.833005893909627,1,0.781925343811395,0.218074656188605,0.52820445135408,0.377895067706836,0.117447624940717,0.496649018593624,0,0,1973,0.87819253438114
"14",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",TRUE,FALSE,FALSE,TRUE,FALSE,0.170430107526882,0.575,0.354032258064516,0.150268817204301,0.507795698924731,0.294086021505376,0.0635811126694717,0.327255726975222,0.278634876110332,0,0.700006575032866,0.371713432838175,0.169196887231919,0.615024412714313,0.372028996384011,0.130646525504708,3720,0.615708274894811
"15",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",TRUE,FALSE,TRUE,FALSE,FALSE,0.254202116621706,0.627516082174725,0.342187175762606,0.0836273085702428,0.748288026561527,0.580203361693297,0.103835978835979,0.779100529100529,0.564484126984127,0.165343915343915,0.693965681331163,0.421959942223733,0.128651170670137,0.715767484738175,0.392501737031343,0.13591094077047,4819,0.545304232804233
"16",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"60-64",TRUE,TRUE,FALSE,FALSE,FALSE,0.314399496960805,0.409767344372249,0.28505554391113,0.182770907566548,0.829595472647244,0.491092014252777,0.10537084398977,0.691048593350384,0.510485933503836,0.208184143222506,0.685707442026657,0.417896072450281,0.22937172849204,0.622622528620301,0.436066190075542,0.185531577298396,4771,0.695652173913044
"17",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",FALSE,FALSE,FALSE,FALSE,FALSE,0.362464183381089,0.126074498567335,0.126074498567335,0.323065902578797,0.798710601719198,0.727077363896848,0.318181818181818,1,1,0,0.741617140423946,0.240589569397078,0.150284425205746,0.900645802285147,0,0,1396,1
"18",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",FALSE,FALSE,FALSE,TRUE,FALSE,0.0580997949419002,0.243335611756664,0.0909090909090909,0.263841421736159,0.943267259056733,0.885850991114149,0.49438202247191,1,1,0,0.73929439569956,0.128107228585697,0,0.778309898433918,0,0,1463,0.373595505617978
"19",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",FALSE,FALSE,TRUE,FALSE,FALSE,0.425019127773527,0.161055853098699,0.141928079571538,0.0577658760520275,0.575745983167559,0.498087222647284,0,0.422802850356295,0.422802850356295,0,0.636358066414063,0.271982972232422,0.134900628969798,0.563100231462543,0.200999262838889,0,2614,0.881235154394299
"20",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",FALSE,TRUE,FALSE,FALSE,FALSE,0.329848405645583,0.174072138003136,0.0940930475692629,0.240460010454783,0.848928384736017,0.821745948771563,0.228228228228228,0.924924924924925,0.924924924924925,0,0.740256862044918,0.358884913713628,0.0559070706975138,0.951684415604132,0,0,1913,0.540540540540541
"21",2006,FALSE,FALSE,FALSE,FALSE,FALSE,"65-69",TRUE,FALSE,FALSE,FALSE,FALSE,0.258048289738431,0.377766599597586,0.152917505030181,0.237927565392354,0.75251509054326,0.682092555331992,0.118508655126498,0.524633821571238,0.410119840213049,0,0.54817918017293,0.470072886316345,0.21576611568143,0.440516279886859,0.684781753723587,0.172880603639592,1988,0.404793608521971
